Image|Logo|Name|Citát|Music|Race|Focus|Origin|God|Age|Status|Title|Position|Description
Skratrulgondiam|Popravca|Skratrulgondiam|None|None|Goblin|Blood Hunter|Ogramište|Vlk|19|Živý|---|Lovec študent - Skupina 750~3|Je viac nenápadný ako by sa dalo čakať ale aj vďačný a na goblina prekvapivo pokojný.
Princ-Lanc-Rueox|Krotiteľ|Lanc Rueox|None|None|Half-Elf (High)|Paladin|Jazierchat|Kybad|23|Živý|Markíz|Lovec študent - Skupina 750~4|Princ si myslí, že všetko čo sa deje je len o ňom alebo kvôli nemu. Stále sa stará do všetkých a dáva im pocítiť, že on je princ! Jeho postavenie je silné ale jeho správanie tak nepôsobí, aj počas boja sa zdalo, že princ robí sebaisto chybné pohyby. 
Baron-Valér-Sartén|Ochranca|Valér Sartén|None|None|Human|Wizard|Sostrov|Geles|29|Živý|Baron|Lovec študent - Skupina 750~4|Nezdá sa, že barón prišiel na akadémiu s úmyslom hájiť záujmy fakulty. Skôr prišíel hájiť svoje meno, zosilnel svoje postaveni a poceste, zhodiť dole tých, ktorý už sú nižšie. Barón je však barón, má peniaze, má príjem z baní a keď sa mu niekto nepáči tak to pocíti bez toho aby to mohol násilne zmeniť. Barón je nebezpečný nielen pre svoje financie a postavenie ale aj jeho mágia je na vyššej úrovni než je priemer.
Princezna-Lejla-Fier'Nuano|Znalec|Lejla Fier˜Nuano|None|None|Aasimar|Sorcerer|Lesohaj|Zylhana|27|Živá|Princezna|Lovec študent - Skupina 750~4|Lejla sa zdá, že zatiaľ najpriatelskejší člen skupiny 750~4. Je pokojná a konfliktu sa vyhýba, skôr po konflikte sa snaží veci upokojiť a stlmiť.
Vojvodkina-Timea-Rolova|Popravca|Timea Rolova|None|None|Human|Fighter|Severana|Rarex|24|Živá|Vojvodkyňa|Lovec študent - Skupina 750~4|O tejto postave sa toho veľa nevie
Zeman-Walandrio-Strygus|Absorber|Walandrio Strygus|None|None|Half-Elf (Human)|Ranger|Pieskostan|Errasa|45|Živý|Zeman|Lovec študent - Skupina 750~4|O tejto postave sa toho veľa nevie
Zori-Trouble|Absorber|Zori Misfit|None|None|Tiefling|Warlock|Tmavohmla|Atheista|22|Živý|---|Lovec študent - Skupina 750~5|Ozaj nemá rád wizardov.
Teodor-Vonhohenberg|Popravca|Teodor Von Hohenberg|None|None|Human|Fighter|Jazierchat|Zekkil|24|Živý|---|Lovec študent - Skupina 750~5|Určite vám niečo hovorí meno Vonhohenberg. Ide o známy rod z Dolinoraja, ktorý kedysi patril medzi ochrancov tohto mesta. Mali na starosti strážne veže, sledovali možné hrozby a práve im sa pripisuje vina za jeho pád do rúk príšer.<br>Je to zároveň pravda a zároveň nefér tvrdenie. Príšer bolo nesmierne veľa. Rod Vonhohenberg zmobilizoval jednotky, bojoval a ako jeden z prvých padal na bojisku. Prežili len tí najmladší, ktorí si ešte ani nemohli spomenúť na to, čo všetko ich predkovia obetovali, akí boli ani ako vyzerali.<br>Deti, ktorým ostalo len meno, a hanba, s ktorou sa na nich ostatní odvtedy pozerali.<br>Dnes tu stojí nová tvár tohto rodu, Teodor Vonhohenberg. Snaží sa napraviť krivdu, ktorá na ich mene spočíva. Rovnako ako jeho predkovia aj on sa hlási do akadémie, odhodlaný napraviť reputáciu svojho rodu a zároveň pomôcť svetu.
lorberth-Forespear|Krotiteľ|lorberth Forespear|None|None|Human|Bard|Severana|Odizan|26|Mŕtvy|---|Lovec študent - Skupina 750~5|O tejto postave aktuálne nie je tak veľa známe.
Nagi-Rabdos|Ochranca|Nagi Rabdos|None|None|Aasimar|Sorcerer|Juhiera|Axon|19|Živá|---|Lovec študent - Skupina 750~5|O tejto postave aktuálne nie je tak veľa známe.
Page-Meadow|Znalec|Page Meadow|None|None|Halken|Wizard|Jazierchat|Mirlo|23|Živá|---|Lovec študent - Skupina 750~5|O tejto postave aktuálne nie je tak veľa známe.
Borald-Grats|Popravca|Borald Grats|Utrpenie je cesta k skutočnej sile!|None|Human|Barbarian|Jazierchat|Kybad|58|Mŕtvy|Jäger|Lovec|Borald Grats pochádzal z rodiny obuvníkov, nikdy ho však toto remeslo nebavilo. Už od mala vzhliadal na vysoké múry akadémie ako na nedobytný palác kam sa chcel dostať. Lovci boli pre neho ty najsilnejší a najschopnejší, boli to hrdinovia hrdinov. Chcel byť ako oni ale nemal na to, jeho otec bol proti a matka ich opustila. Borald bol frustrovaný a nespokojný. V meste sa dostával do konfliktov a neraz došiel domov zbití. Nebil sa však len tak na ulici ale zarábal si ako zápasník. Tu objavil ako efektívne sa dajú využiť potlačené emócie v boji. Keď to otec zistil vyhodil ho z domu. Boraldovi to však bolo jedno, nikdy sa za otcom nevrátil, mal čosi nasporené a šťastie skúsil na akadémií. Prijali ho a ako lovec precestoval celý svet, nikdy však nebol najlepší lovec a to ho frustrovalo stále viac riskoval a tlačil svoje hranice, keď to raz prehnal a utrpel vážne zranenie, svoju posadlosť prenášal aj na synov. Bolyvar bol jeho úspech, syn v ktorom videl seba a cez neho si splnil sen. To ho ale nenaplnilo tak aby čakal, snažil sa preto ešte vrátiť ako lovec späť ale zranené telo nestačilo a pri obrane Juhiery získal ďalšie vážne zranenie z ktorého sa už nespamätal a vo veku 58 rokov zomrel.
Gregor-Grats|Ochranca|Gregori Grats|Tie malé radosti sú tie najpodstatnejšie.|None|Human|Paladin|Jazierchat|Saci|30|Mŕtvy|Hed|Lovec|Prvorodený syn Boralda Grats, zahynul vo veku 30 rokov na love s Bolyvarom.
Belo-DeRueox|Mesto|Belo DeRueox|None|None|Human|Fighter|Jazierchat|Zekkil|33|Živý|---|Osobný strážca Lanc Rueoxa|Smutný muž, ktorý si ale plní svoje poslanie perfektne. Stráži princa ale je viditeľne nespokojný s princovím správaním. Neraz skôr ako princ odišiel tak sa za neho Belo ospravedlnil. Okrem toho však Belo nehovorí alebo nerobí veľa, je tieň princa a jeho ochranca.
Kargan-Iskier|Znalec|Kargan Iskier|None|None|Human|Wizard|Jazierchat|Hellia|28|Živý|Skaut|Ex-študent - Skupina 740~5, Správca knižnice Jazierchatu|Prezieravý ale nesebaistý knihovník.
Quinn-Mursa|Bohovia|Quinn Mursa|Stále neviem či je to dar alebo prekliate, ale jedno viem s istotou, len sa tak sa ma nezbavíte.|None|Human (Demigod)|Fighter|Dolinoraj|Axon|1282|Živý|Lady, Kráľovná, Vojvodkyňa, Magistra ...|Legenda|Polobohovia sa rodia od nepamäti, od chvíle, keď sa na svete objavili prví ľudia. No Quinn bola od začiatku iná než ostatní. Nebola oslnivo silná, neovládala žiadny zrejmý element a príroda sa k nej neskláňala s ochotou, akú poznali iní jej druhu. Jej dar nebol viditeľný na prvý pohľad – bol tichý, skrytý, takmer nepochopiteľný. Mnohí spočiatku pochybovali, či je vôbec polobohyňou. Až čas ukázal pravdu. Prežila svojich rodičov, svojich súrodencou i ich deti, prežila dokonca aj elfov, ktorí sa narodili v rovnakom období ako ona, a napriek tomu kráčala ďalej, nezmenená, neúnavná a však sama. Quinn nikdy nemala vlastné deti, nevedno prečo, a generácie potomkov sa pre ňu stali neznámi ľudia...<br><br>Quinn sa narodila ešte pred príchodom monštier, no keď sa objavili, neváhala a postavila sa im. Stala sa bojovníčkou a postupne aj legendou, počas svojho dlhého života sa stala mnohým, isté obodie dokonca aj kráľovnou. Za posledných pár desať ročí ju však poriadne nikto nevidel. Jej prítomnosť vo svete zoslabla, akoby sa rozplynula medzi príbehmi a spomienkami, no nikto skutočne neverí, že zmizla. Nemohla zomrieť. Každé zranenie prekonala, každú ranu prežila a zakaždým vstala znova aj keď ju prebodli ako upíra, aj keď padla z útesu, dokonca prežila aj pád Dolinoraju. Tak teraz všetci len čakajú, kde a kedy sa zjaví najbližšie, dokonca sa na to dá aj vsadiť.
Lucius-VonHohenberg|Absorber|Lucius Von Hohenberg|None|None|Human|Fighter|Jazierchat|Errasa|35|Mŕtvy|Bojon|Lovec Skupina 725|Patril pod skupinu Vasila, počas jednej výpravy sa veci úplne vymkli kontrole. Vasil sa snažil zachrániť skupinu lebo Unae už bola vážne ranená. Lenže Vasil ostal sám odokrytý, smeroval na a neho útok druhého monštra, Lucius vbehol na pomoc Vasilovi a dosť toho aj vykryl ale nie všetko a práve tu dostal fatálne zranenie. Otvoril ale možnosť útoku pre ostatných a monštrum zničili. Lucius bol absorber ale zomrel ako ochranca. Ako to suvisí s ludvikom? Nebyť Luciusa skonal by Vasil a nebyť Vasila skonala by Unae a bez Unae by tu nebol Ludvik.
Vasil-Calson|Absorber|Vasil Calson|Dobrý nápad, tvrdá hlava a silná vôla dokáže viac než slepá dôvera v príkaz. |Cyan Legend|Human|Spectral Knight|Severana|Vallor|68|Živý|Jäger|Spectral Knight Cyan, Lovec skupiny 705|Vasil Calson, zvaný Hviezda, je Rytier tyrkysového svetla a jeden z najznámejších lovcov svojej generácie. Tyrkysové svetlo je medzi rytiermi spojené s prúdom prispôsobenia a schopnosťou meniť sa skôr, než sa zmení bojisko. Práve táto vzácnosť z Vasila robí nielen rytiera svetla, ale aj vysoko adaptívneho bojovníka. <br><br> Od detstva túžil byť lovcom. Rytieri svetla boli vznešení, jedineční lebo sú viazaní krvou, no Vasil veril, že lovci sú potrební tam, kde ľudia skutočne krvácajú. Preto sa hádal s otcom aj rádom, až kým im nezostalo nič iné, než ustúpiť. Vasil sa totiž aj bez povolenia vrhal do bojov s príšerami a svojimi skutkami robil rytierom svetla dobré meno. <br><br> Čas ukázal, že to bolo správne rozhodnutie. Ako rytier tyrkysového svetla dokázal Vasil meniť svoje konštrukty rýchlejšie, než iní lovci menili zbrane. Tam, kde iný siahal po kladive, Vasil už udieral kovadlinou. Tam, kde iný prebíjal kušu, on vypustil sériu tyrkysových šípov. A keď sila nestačila, premenil šípy na popruhy, reťaze či putá, ktoré príšeru zastavili skôr, než mohla znova zaútočiť. <br><br> Vasil nebol dokonalý, ale bol neobyčajne prispôsobivý. Ak niečo nevyšlo, zmenil rytmus, zbraň, plán aj úsmev. Nebol silný len v boji, ale aj v slove, a práve preto jeho sláva rástla rýchlejšie než legendy o ňom. Jeho podpísané plagáty majú dodnes vysokú hodnotu a jeden z nich ho zachytáva vo chvíli mimo bojiska, keď sa mu ženy doslova hádžu pod nohy. <br><br> Napriek všetkej sláve však Vasil zatiaľ nezvládol jednu vec, ktorá je pre rytierov svetla najdôležitejšia... zabezpečiť pokračovanie krvnej línie. Bez potomka môže tyrkysové svetlo vyhasnúť, a keďže červený rod už zhasol, rádu by zostali už len štyri rody. Kým však Vasil žije, stále svieti aj nádej, že Hviezda ešte nezhasne. 
Darina-Kold|Absorber|Darina Kold|None|Queen of the Commotion|Human|Blood Hunter|Severana|Decon|27|Živá|Hed|Lovec študent - Skupina 740~0|Darina Kold je najmladší žijúci potomok Dextera Kolda a odhodlaná Absorbérka, ktorej meno sa často spája s jediným slovom — chaos. Nie je to človek, ktorý ticho vstúpi do miestnosti. Darinu počuť ešte skôr, než ju vidno, pretože je hlasná, drzá, vulgárna a nehanbí sa za to. <br><br> Je známa prekvapivo vrtkavou povahou. V jednej chvíli dokáže byť stredobodom zábavy, rozosmiať skupinu a rozpáliť atmosféru okolo seba. V ďalšej chvíli môže tou istou energiou rozpútať hádku, bitku alebo úplný rozklad plánu. Niekedy to obráti proti nepriateľom, inokedy, žiaľ, aj proti vlastným. <br><br> Darina je divoká karta v každej situácii. Niektorí ju za to milujú, pretože práve jej nepredvídateľnosť vie zmeniť prehratý boj na víťazstvo. Iní sa jej boja, pretože pri nej nikdy nie je isté, či práve zachraňuje situáciu, alebo ju podpálila od základov. <br><br> Ako potomok Koldovcov v sebe nesie silu, ambíciu a tvrdohlavosť svojho rodu, no používa ich po svojom. Darina nie je elegantná ani poslušná lovkyňa. Je výbuch emócií, talentu a surovej energie, ktorý sa nedá ignorovať — a už vôbec nie zastaviť len tým, že jej niekto povie, aby sa upokojila. 
Darius-Kulukala|Popravca|Darius Kulukala – Halfforged|None|Half-Forged Prayer|Human|Monk|Sostrov|Zekkil|32|Živý|Hed|Lovec študent - Skupina 740~0|Lovec, ktorý prežil niečo, čo malo byť istou smrťou. Počas jedného z lovov utrpel strašné zranenia, keď mu žieravina takmer úplne rozpustila trup a hornú časť tela. Na mieste nebol žiaden liečiteľ, ktorý by ho dokázal zachrániť, a každá ďalšia chvíľa ho približovala ku koncu. <br><br> Vtedy zasiahol Marcel. Ohýbal hranice mechaniky, organiky a mágie, aby Dariusa udržal nažive. Nešlo o čisté vyliečenie, ale o zapečatenie smrti skôr, než si ho stihla vziať. Darius prežil, no jeho telo už nikdy nebolo rovnaké. <br><br> Jeho zranenia zostali uzavreté tak hlboko a nebezpečne, že pokus o ich znovuotvorenie a skutočné vyliečenie by ho s najväčšou pravdepodobnosťou zabil. Preto žije v mechanickej schránke, ktorá tvorí jeho ruky, hruď a veľkú časť hornej polovice tela. <br><br> Táto schránka mu dáva silu a schopnosti, aké bežný človek nemá. V boji je pevnejší, odolnejší a neľudsky neúprosný. Cena za to je však tichá a krutá. Jeho dotyk je chladný, jeho hmat takmer neexistuje a mnohé veci, ktoré iní cítia prirodzene, sú preňho už len spomienkou. <br><br> Darius nie je stroj, hoci jeho telo tak môže pôsobiť. Je to človek, ktorého smrť nedostala, ale vzala si od neho kus života aj tak. 
Ľubomíra-Vrba|Krotiteľ|Ľubomíra Vrba|None|Secrets in the Raincoat|Human|Sorcerer|Juhiera||30|Živá|Hed|Lovec študent - Skupina 740~0|Charizmatická, spoločenská a zvláštne zdráhavá žena, ktorá pôsobí otvorene, no o sebe prezrádza menej, než by sa zdalo. Ľudia jej často hovoria veci, ktoré by iným nepovedali, pretože vie počúvať, reagovať s pochopením a vytvoriť pocit, že pri nej je človek vypočutý. <br><br> Problém je, že tajomstvá si pri nej nežijú dlho. Ľubomíra ich nezvyčajne nevynáša zo zloby, skôr preto, že slová z nej niekedy odídu skôr, než ich stihne zastaviť. Je dôveryhodná ako poslucháčka, ale nebezpečná ako úschovňa tajomstiev. <br><br> Sama však veľa nehovorí o tom, kým skutočne je. Radšej necháva za seba hovoriť skutky, dojmy a magické efekty. Vie sa prezentovať pôsobivo, farebne a s istou dávkou teatrálnosti, akoby každé jej gesto mohlo byť malým kúzlom. <br><br> Práve tým rada irituje svoju sestru, ktorá mágii neverí a omnoho viac dôveruje sile tela, disciplíne a fyzickým schopnostiam. Ľubomíra sa tým nenechá odradiť. Naopak, čím viac jej sestra odmieta magické okázalosti, tým väčšiu chuť má Ľubomíra dokázať, že správne načasované kúzlo vie byť rovnako výrečné ako úder. 
Marcel-Granulia|Ochranca|Marcel Granulia Strieborný|None|Marcels Wires and Whispers|Human|Artificier|Pieskostan|Chirnird|28|Živý|Hed|Lovec študent - Skupina 740~0|Nezačal svoju cestu lovca ako hrdina, ale ako trestanec. Bol schopný samozvanec, ktorý dostal na výber medzi väzením, nútenou prácou a službou lovca. Rozhodovanie netrvalo dlho. Lovec mal väčšiu voľnosť, prístup k náradiu a dosť príležitostí, aby Marcel dokázal, čo v ňom skutočne je. <br><br> Pôvodne sa venoval rôznym zlepšovákom, úpravám výstroja a technickým riešeniam, ktoré iným ani nenapadli. Po Dariusových strašných zraneniach sa však jeho práca zmenila. Práve Marcel ohýbal hranice mechaniky a organiky, aby Dariusa zachránil, a odvtedy sa zameriava najmä na bio-mechanické náhrady a spôsoby, ako udržať pri živote tých, ktorých obyčajná medicína už odpísala. <br><br> Mnohí dnes pri pohľade na Marcela zabúdajú, kým bol predtým. Zabúdajú na vodcu rebelov z Granulie, ktorý kráčal po stopách Romula, najznámejšieho samozvanca svojho kraja. Kedysi z neho išiel strach, pretože bol nebezpečný, vzdorovitý a ťažko ovládateľný. <br><br> Dnes z neho ide rešpekt z iného dôvodu. Nie preto, že by ľudí desil, ale preto, že preukázal schopnosti, ktoré sa nedajú ignorovať. Marcel Granulia je dôkazom, že aj človek, ktorý začal ako problém, sa môže stať tým, kto zachráni životy, keď už všetci ostatní nevedia ako.
Leonard-Arjek|Znalec|Leonard Arjek|None|The Measure of the Flame|Human|Wizard|Juhiera|Zylhana|27|Živý|Hed|Lovec študent - Skupina 740~0|Leonard Arjek bol Znalcom ešte skôr, než vôbec vstúpil na akadémiu. Už ako dieťa dokázal z príbehov, povestí a opisov lovov určovať silné a slabé stránky príšer. Kým iní počúvali rozprávanie ako dobrodružstvo, Leonard v ňom hľadal vzorce, chyby, správanie a možnosti prežitia. <br><br> Na akadémii sa z tejto prirodzenej schopnosti stal presný nástroj. Leonard nebojuje hrubou silou ani slepou odvahou, ale prípravou, znalosťami a mágiou ukrytou v knihe. Každý zápis, poznámka a kúzlo má uňho svoje miesto, pretože v boji môže správna informácia rozhodnúť skôr než najostrejšia čepeľ. <br><br> Jeho prístup je tichý, dôsledný a nebezpečne presný. Nepotrebuje byť najhlasnejší v miestnosti, aby si ho všimli. Stačí, aby raz správne pomenoval slabinu nepriateľa, a každý pochopí, prečo je Leonard Arjek vysoko kvalifikovaný lovec. <br><br> Leonard je typ Znalca, ktorý dokáže z obyčajného príbehu vyčítať varovanie a z varovania vytvoriť plán. Tam, kde iní vidia monštrum, on už hľadá spôsob, ako ho poraziť. 
Caelthir-Vaelorian|Absorber|Caelthir Vaelorian|None|None|Elf (High)|Sorcerer|Stromoraj|God|132|Živý|Hed|Lovec študent - Skupina 740~1|Unikátny Absorbér, známy tým, že medzi svojimi spolužiakmi pôsobí takmer nepatrične pokojne. Kým mnohí z jeho fakulty pracujú s esenciou prudko, nárazovo a často aj riskantne, Caelthir zostáva sústredený, sebavedomý a tichý. Nevyvoláva rozruch a do boja sa nevrhá bezhlavo. Keď zaútočí, robí to pripravene. <br><br> Práve preto si niektorí myslia, že si vybral nesprávnu fakultu a mal sa stať Znalcom. Caelthir to však odmieta. Vie, že patrí medzi Absorbérov, len s esenciou narába inak než väčšina. Nehltá ju naraz, nenecháva sa ňou zaplaviť a nevypúšťa ju ako výbuch. Delí ju, dávkuje a používa postupne, akoby každý kúsok sily musel najprv prejsť cez jeho vôľu. <br><br> Jeho najväčšou schopnosťou nie je iba moc, ktorú dokáže prijať, ale sebazaprenie, s akým ju dokáže udržať. Caelthir sa neponáhľa do boja ani do nepremyslených situácií, pretože verí, že skutočná kontrola sa neukazuje v tom, koľko sily človek unesie, ale v tom, koľko jej dokáže nepoužiť. <br><br> Medzi Absorbérmi je preto zvláštnou výnimkou, pokojný lovec uprostred fakulty plnej prudkých reakcií. A práve vďaka tomu je nebezpečný.
Morga-Dakrad|Popravca|Morga Dakrad|None|None|Orc|Barbarian|Granulia|Tiny|24|Živá|Hed|Lovec študent - Skupina 740~1|Na pomery barbarov, a obzvlášť orkov, prekvapivo spôsobivá a dôstojná dáma. Vie pôsobiť pevne, hrdo a pokojne, akoby každé jej slovo malo váhu železa. Tento pokoj však vydrží len dovtedy, kým nezačne boj. <br><br> V boji je Morga divoká ako rieka počas jarnej búrky, keď sa lámu ľady a voda berie všetko, čo jej stojí v ceste. Neútočí jemne ani opatrne. Keď sa pohne, je to náraz sily, hnevu a neúprosnej vytrvalosti. A keď jej mágia dovolí narásť do veľkosti obrov, stáva sa z nej živá pohroma pre každého veľkého nepriateľa. <br><br> Proti obrom, beštiám a mohutným monštrám sa cíti prirodzene. Čím väčší protivník, tým jasnejší cieľ. Skutočný problém pre ňu nie sú veľké hrozby, ale veľa malých naraz — rýchle, roztrúsené a otravné ciele, ktoré sa nedajú jednoducho zraziť jedným ničivým úderom. <br><br> Našťastie Morga nie je sama. Má tím, na ktorý sa môže spoľahnúť, a práve to z nej robí ešte nebezpečnejšiu lovkyňu. Ona zastaví to najväčšie, podrží líniu a rozbije chrbticu boja, zatiaľ čo ostatní zvládnu chaos okolo nej. Morga Dakrad je dáma mimo boja, búrka v boji a sila, ktorú je lepšie mať na svojej strane.
Lavri-Oblag|Krotiteľ|Lavri Oblag   Modelka|None|Lavri - Beauty and Brain|Human|Wizard|Juhiera|Zael|29|Živá|Hed|Lovec študent - Skupina 740~1|Žena, ktorú pozná každý, kto prešiel mestom. Jej tvár sa objavuje na reklamách, plagátoch a bilboardoch tak často, že človek by musel byť slepý, aby ju nikdy nevidel. Krásna, výrazná a dokonale zapamätateľná, Lavri pôsobí ako niekto, kto sa narodil pre obdiv davu. <br><br> Lenže pri Lavri je prvý dojem iba začiatok klamstva. Za jej vzhľadom, vystupovaním a verejným obrazom sa skrýva omnoho viac, než odhalí prvý, druhý či tretí pohľad. Nie je len ozdobou reklám ani peknou tvárou medzi kúzelníkmi. Je inteligentná, nebezpečná a presne vie, ako ľudia reagujú na krásu. <br><br> Tí, ktorí sa dostali na jej zlú stranu, veľmi rýchlo pochopili, že Lavriina krása nie je iba výsada. Je to nástroj, štít aj zbraň. Dokáže ňou otvárať dvere, lámať pozornosť, odvádzať pohľady a dostať sa bližšie, než by jej nepriatelia dovolili, keby ju brali vážne od začiatku. <br><br> Jej kniha plná kúziel je nebezpečná, no Lavri sama možno ešte viac. Pretože kým kúzlo človek niekedy spozná až podľa svetla v ruke, Lavri už dávno pôsobí skôr, než vôbec začne čarovať.
Majky-Neon|Ochranca|Majky Neon|None|Metal Goliath|Gnome|Artificier|Granulia|Hozrir|53|Živý|Hed|Lovec študent - Skupina 740~1|Len s kovovým plátom na hrudi, jednou rukavicou a hlavou plnou nápadov. takto začal Majky svoju cestu lovca. Skrutku za skrutkou, plát po pláte však svoju výstroj zdokonaľoval, až z nej vytvoril zbroj, ktorú dnes poznajú ako Mechanický Goliat. <br><br> Postupom času sa jeho zbroj stala slávnejšou než on sám. Niektorí ľudia si dokonca neuvedomujú, že nejde o samostatnú bytosť, ale o nástroj, ktorý Majky navrhol, postavil a ovláda. To je však presne jeho najväčší úspech — vytvoril niečo také pôsobivé, že legenda prerástla samotného tvorcu. <br><br> Lenže ako každý nástroj, aj Mechanický Goliat je silný iba tak, ako ten, kto ho používa. A Majky Neon ho používa naplno. Každý pohyb, každý úder a každý mechanický zlepšovák je výsledkom jeho dôvtipu, odvahy a tvrdohlavej práce. <br><br> Majky je dôkazom, že veľkosť sa nemeria výškou. Keď vstúpi do boja vo svojej zbroji, nikto sa už nesmeje tomu, že gnómovia sú malí. 
Theresa-Thlavinova|Znalec|Theresa Thlavinova|None|None|Half-Elf|Sorcerer|Lesohaj|Mirlo|33|Živá|Hed|Lovec študent - Skupina 740~1|Theresa Thlavinova je odpoveďou na otázku, čo vznikne spojením krvi človeka, elfa a celestiala. Z každej línie si nesie niečo vlastné — krásu elfa, ľudské zapretie a mágiu nebies. Pôsobí jemne a vznešene, no pod tým je trpezlivá, dôsledná a mimoriadne schopná Znalec. <br><br> Prvé, čo sa Theresa naučila, nebol boj ani kúzla, ale jazyky. Ako jedna z mála nepotrebuje prekladač, magický výklad ani cudziu pomoc, aby pochopila texty a reč iných národov. Dokonca aj zabudnuté jazyky dokáže vyrozumieť lepšie než väčšina učencov, pretože nehľadá len slová, ale aj vzorce, pôvod a zmysel. <br><br><br><br> Práve preto sa niektorí pýtajú, či je taká dobrá Znalec preto, že o monštrách študuje, alebo preto, že rozumie ich reči. Theresa na to zvyčajne odpovedá pokojne.... samozrejme, že študuje. Monštrá predsa reč nemajú. Teda väčšina nie. <br><br> V boji aj výskume je nebezpečná tým, že vie pochopiť veci skôr, než ich iní vôbec pomenujú. Starý nápis, zvláštny zvuk, fragment zakázaného textu alebo stopa po rituáli sú pre ňu rozhovorom, ktorý ešte neskončil. Theresa Thlavinova je Znalec, ktorá dokáže čítať svet tam, kde iní vidia iba ticho. 
Velimira-Modrislava-Malinova_2026_2|Znalec|Velimira Modrislava Malinova   Modra|Ako to, že mágia je tým viac vzrušujúca čím bližšie pri sebe stojíme?|Azure Temptation|Human|Wizard|Jazierchat|None|26|Živá|Hed|Lovec študent - Skupina 740~2|Velimira Modrislava Malinova je Znalec, ktorá nikdy nehľadá len správne riešenie. Správne riešenie je pre ňu iba základ. Skutočne zaujímavé riešenie musí mať tvar, výzor, efekt a najlepšie aj dramatický nástup. Tam, kde by iný učenec našiel najkratšiu cestu k výsledku, Velimira hľadá cestu, ktorá bude nezabudnuteľná. <br><br> Bežné odpovede na problém ju nudia. Štýlové odpovede ju zaujímajú. Kúzlo nemá iba fungovať, má vyzerať dobre. Plán nemá byť iba účinný, má mať eleganciu. Aj obyčajný krok, pohľad či poznámka môže niesť podpis človeka, ktorý vie presne, ako chce pôsobiť. <br><br> Nie vždy je to potrebné. Niekedy je to zbytočné, niekedy prehnané a občas by jednoduchšie riešenie bolo praktickejšie. Lenže Velimira nie je človek, ktorý sa uspokojí s tým, že niečo iba vyšlo. Chce, aby si ľudia zapamätali, ako to vyšlo. <br><br> Jej krása, ostrý jazyk, inteligencia a mágia spolu vytvárajú ideálnu kombináciu na produkovanie nezabudnuteľných výsledkov. Velimira nevyužíva kúzla len tak, ako boli napísané v učebniciach. Rada ich ohýba, prekladá do iného zmyslu a používa spôsobom, na ktorý pôvodne možno vôbec neboli určené. Práve táto záľuba v netradičnom použití mágie jej už neraz pomohla vyriešiť problém nečakaným spôsobom, a niekedy dokonca aj priviedla k vytvoreniu úplne nového kúzla. <br><br> Ona jednoducho rieši problémy tak ako krajčírka šije šaty, na mieru, odvážne a tak, aby výsledok nebol len funkčný, ale aj nádherný. 
Anaria-Argentum|Krotiteľ|Anaria Argentum   Búrka|Nekomplikujme si to keď nemusíme.|The Calm Before Her Name|Genasi|Sorcerer|Sostrov|Rarex|33|Živá|Hed|Lovec študent - Skupina 740~2|Anaria Argentum, zvaná Búrka, pôsobí mimo boja vrúcne, pokojne a takmer odzbrojujúco. Je typ človeka, pri ktorom sa hlas stíši prirodzene, nie zo strachu, ale z rešpektu k jej tichej prítomnosti. Vie počúvať, usmiať sa a vniesť do miestnosti pokoj, aký by od nej nepriateľ nikdy nečakal. <br><br> V boji sa však táto zdržanlivosť mení na desivú magickú intenzitu. Anaria je Genasi a v žilách jej prúdi blesk, preto práve s ním pracuje najprirodzenejšie. Keď začne čarovať, jej pokoj sa nezlomí, iba sa premení na sústredenú búrku. <br><br> Nie je hlučná preto, aby zastrašila. Hluk je len vedľajší efekt toho ako ostáva sústredená, zatiaľ čo sa okolo nej trhá vzduch a oblohu pretína svetlo. Anaria Argentum je dôkazom, že aj najjemnejší človek môže v boji niesť meno Búrka právom. 
