Image|Name|Owner|Rarity|Type|Origin|Speed|Movement|Combat|Trait|Weakness
Emberjoy|Emberjoy|Maja Majakova|Epic|Heartflare Foxdrake|Juhieran forest-coast species strongly responsive to emotion, magical disturbance, and the behavior of nearby creatures.|85|Sprint, leap, glide, emotion-pulse tracking|Yes / support|Empathic bond, senses shifts in fear, anger, excitement, and monster behavior, reacts faster than commands, can flare colorful magic to distract or calm creatures|Overreacts to strong emotions; can mirror Maja’s enthusiasm and become too eager
Remedion|Remedion|Mailo Rudla|Epic|Saint-Hart Apothecary Stag|Sostrov healer’s mount line raised around the southern farms and wetland routes to carry herbs, antidotes, and wounded travelers.|70|Forest travel, careful mountain pathing, shallow water crossing, steady burden movement|Defensive / support|Carries medical supplies, senses poison, disease, rot, and curse-taint, calming holy presence, can stabilize wounded riders, gentle but brave|Avoids needless aggression; vulnerable if forced into direct frontline assault too long
Vialtick|Vialtick|Inge Čarčoredka|Very Rare|Alchemic Sample-Beetle|Granulian laboratory breed developed in alchemical workshops and mine labs to carry hazardous biological samples without contaminating handlers.|60|Wall crawl, tunnel crawl, marsh crossing, slow glide from height|Limited / utility|Armored carapace, sample-storage chambers, toxin-resistant, can safely carry monster fluids, glands, spores, slime, and living reagents, field-lab saddle|Not graceful and not fast; curious around dangerous biological material and may stop to investigate
Gloamheart|Gloamheart|Daniel Kravke|Epic|Umbral Courser|A courser line from the shores of Tmavohmla, bred for travel through black fog, dim coast roads, and long periods of weak light. Generations of breeding around local umbral magic made its darkness-adapted traits increasingly hereditary.|90|Shadow-step, silent stride, water-skimming|Yes|Sees through magical darkness, muffles movement, wraps rider in dim protective gloom|Weakened by strong radiant light and hesitant on heavily consecrated ground
Bastion|Bastion|Krištof Aus Tiefental|Rare|Valehorn Charger|Dolinoraj valley breed preserved after the city’s fall; once used on old hunting roads and guard routes between the three mountains.|95|Sure-footed climb, burst charge, long-distance endurance|Yes|Highly disciplined, excellent tracker, steady under fear and missile fire|Not stealthy and loses speed in deep swamp or unstable mud
Saphros|Saphros|Wolfgang Sumrak|Epic|Azure-Mane Dire Lion|Pieskostan predator from the northern stone-pillar desert and heat-scoured ridges beyond the city walls.|60|Great leaps, cliff climbing, short flame-dash bursts|Yes|Blue-fire mane, terrifying roar, heat resistance, brutal pounce attacks|Temperamental when badly wounded and too conspicuous for subtle travel
Refrén|Refrén|George Hviezda|Very Rare|Songhorn Ram|Lesohaj species from the forested foothills and orchard slopes beneath the southwestern mountains, where its call carries between the trees.|55|Gliding jumps, cliff-leaping, agile hill running|Yes|Resonant call that boosts morale and disrupts foes, compact enough for a halfling, excellent balance|Cannot carry heavy loads and struggles in prolonged direct melee against large beasts
Boren|Boren|Krasko Horenik|Very Rare|Marshhorn Stag|Jazierchat wetland species common in reed forests, marsh edges, and clan-held country around the city’s many lakes and AquaEvie.|70|Swimming, brush-walking, silent forest stride|Yes|Excellent scenting, natural camouflage, senses poison and corrupted flora, strong bond with druidic magic|Uneasy in dense urban streets and less effective on barren stone or wasteland terrain
Dawnshear|Dawnshear|Helena Sajkl|Epic|Frost-Halo Wargryph|Chladohrad aerial hunter bred from cold-adapted griff stock found along frozen cliffs and expedition routes toward the southern pole.|90|Flight, snow-run, radiant dive, cliff launch|Yes|Radiant smite-channeling, cold resistance, fearless charge, excellent aerial pursuit, attacks threats before they reach protected allies|Proud and difficult to hold back; poor choice for subtle missions or peaceful negotiations
Graspwake|Graspwake|Amanda Okercera|Epic|Oker-Blessed Manyclaw Raptor|Ogramište arena stock later ritualized by Oker-family handlers; selected for autonomous defensive reflexes and brutal close-range mobility.|75|Sprint, leap, climb, sudden side-dash|Yes|Semi-independent tail and claw reflexes, can act to protect rider even when Amanda is stunned, reacts well to her autonomous arm, brutal close-combat mobility|Requires constant control; may “help” before Amanda wants it to, especially when danger is close
Auroveil|Auroveil|Ervart Goldschmied|Epic|Gilded Gloomsteed|Descended from heavy workline horses once used to haul ore and equipment through mining country. Protective and strengthening enchantments were repeatedly placed on the working stock; over generations, selective breeding caused traces of that magic to become hereditary. Later breeders refined the line for noble use, slowly turning the rugged mining horse into a stronger, cleaner, more pristine and elegant steed.|80|Shadow-gallop, mist-step, noble road endurance, short dark glide|Yes|Cursed-gold aura, dim-light camouflage, fear resistance, can turn shadow into brief golden flare, imposing noble presence|Unstable around curse-breaking magic; its glamour weakens in plain daylight and consecrated places
Ironmane|Ironmane|Dytria Grats|Epic|Arena Scar-Aurochs|Ogramište arena stock where only animals that survive repeated monster bouts are kept for further breeding and war training.|60|Brutal charge, rough terrain push, mud crossing, shield-body advance|Yes|Heavy impact force, scarred antimagical hide, carries trophy gear, resists charm and fear, can body-block spells or monster charges|Not a lion; slow to turn, poor at stealth, difficult to bond with because it only respects survival-tested riders
Oddlight|Oddlight|Vilo Rozsipal|Very Rare|Curio-Wing Spellmoth|Native to Lesy Života and only a rare visitor to Axria. During spring, when the boundary between the planes becomes unusually receptive, a few Spellmoths sometimes cross over and settle deep in forests around old or strongly enchanted trees. Most Axrians know them only from these brief seasonal appearances.|75|Hover, glide, silent flutter, short arcane drift|Limited / support|Carries rare items safely, senses enchanted objects, creates soft distraction lights, excellent for caster repositioning, strangely charming to merchants and collectors|Fragile in direct combat; drawn toward magical curiosities and may become distracted by rare artifacts
Gromveil|Gromveil|Damian Kolt|Very Rare|Ghostfire Charger|Granulian warhorse line trained on outer rail roads and blast-scorched testing grounds, making it unusually calm around gunfire, thunder, and explosions.|70|Gallop, burst charge, strong footing on roads and broken ground|Yes|Looks like a normal disciplined warhorse outside combat; battle state ignites eerie green flame; fearless under gunfire, thunder, and panic; accelerates brutally fast for sudden engagement|Ghostfire gives away position once combat starts; less effective in deep swamp, dense forest, or prolonged stealth travel
Rimeguard|Rimeguard|Ludvik Grats|Very Rare|Frostcliff Griffon|Chladohrad species nesting on frozen escarpments and wind shelves outside the city and along polar expedition routes.|68|Flight, glide, cliff landing, cold-weather ascent|Yes|Powerful wings, excellent cold endurance, calm protector temperament, dependable with rider and gear, steady in mountain winds|Heavy appetite; heat and humid lowlands reduce stamina; less agile in tight urban spaces
Vesperian|Vesperian|Carlie Hof’Goria|Very Rare|Silkdusk Cougar|Juhieran night-forest predator found between the coast, mountain approaches, and the woodland road toward Lesohaj.|70|Silent sprint, climb, leap, rooftop and wall-edge movement|Yes|Smarter than most give it credit for, responds to tiny cues, elegant and quiet, excellent stalker, unnerves lesser beasts without flashy aggression|Not a brute line-breaker; dislikes exposed open terrain and long heavy hauling; weaker in prolonged frontal clashes
Judicar|Judicar|Kratol Uroqal|Very Rare|Sanctified Ironhide Triceratops|Chladohrad heavy-beast line used on fortified pilgrimage and expedition routes around the Aurora Serpent shrine, where cold endurance and mass matter more than speed.|55|Charge, snow-trudge, rubble push, defensive bracing|Yes|Armor-like hide, tremendous stopping power, naturally protective, ideal for holding lines and breaking monster formations, unwavering under pressure|Large turning radius; poor in dense forest and narrow streets; too heavy for fragile bridges or subtle travel
Myrrok|Myrrok|Ogmurok Rogantor|Epic|Ghostriver Huntcat|Sostrov wetland predator from flooded brush and shallow channels between the southern islands, able to cross water with barely a ripple.|85|Swim, climb, long leap, trunk-running, brush-slipping|Yes|Almost impossibly graceful movement, near-silent hunting, crosses rivers with barely a ripple, disappears through vegetation, makes rider seem supernatural without any flashy magic|Not made for armored burden or siege-style clashes; dry open plains expose it more; relies on movement rather than heavy durability
