Image|Logo|Name|Nickname|Citát|Music|Race|Focus|Origin|God|Age|Status|Title|Position|Description|
Alienna-Eru'Galad|Krotiteľ|Alienna Eru˜Galad||None|None|Elf (High)|Cleric|Lesohaj|RaAkademialor|248|Živá|Skaut|Lovec študent - Skupina 750~2|O tejto postave sa toho veľa nevie|
Mok-Gulok|Absorber|Mok Gulok||None|None|Dworc|Monk|Granulia|Tiny |20|Živý|Skaut|Lovec študent - Skupina 750~2|Nemá o mágiu záujem radšej trénuje.|
Emilia-Tavenova|Znalec|Emilia Tavenova||None|None|Genasi|Fighter|Skalodom|Ghad |26|Živá|Skaut|Lovec študent - Skupina 750~2|O tejto postave sa toho veľa nevie|
Trigobor|Ochranca|Trigobor||None|None|Firbolg|Druid|Lesy Života|---|123|Živý|Iar (Titul pre druida v Lesoch Života), Skaut |Lovec študent - Skupina 750~2|Viac hľadný ako unavený a že unavený je dosť. Bodaj by nie keď so sebou všade nosí takú váhu. Ale zdá sa, že za trochu jedla vie bať nápomocný.|
Rick-Okomel|Popravca|Rick Okomel||None|None|Human|Barbarrian|Pieskostan|Zekkil|25|Živý|Skaut|Lovec študent - Skupina 750~2|Hrdý na svoju fyzickú zdatnosť a veľmi podráždený ak mu niečo nevyjde, Mágia ho nezaujima vôbec ale zato cvičisko je pre neho radosť. Zdá sa svoje sekery ovláda precízne na blízko aj na diaľku.|
Kav|Krotiteľ|Kav||None|None|Kobold|Warlock|Raj Drakov|---|9|Živý|---|Lovec študent - Skupina 750~3|O tejto postave sa toho veľa nevie|
Brakrag-Železokostry|Ochranca|Brakrag Železokostry||None|None|Dwarf (Brewer)|Cleric|Vyskyna|Trudgru |267|Živý|---|Lovec študent - Skupina 750~3|O tejto postave sa toho veľa nevie|
Ravorit-Meden|Znalec|Ravorit Meden||None|None|Gnome|Artificier|Granulia|Zedrad |70|Živý|---|Lovec študent - Skupina 750~3|O tejto postave sa toho veľa nevie|
Gema-Bystrok|Absorber|Gema Bystrok||None|None|Halfling (Tongue)|Bard|---|---|43|Živá|---|Lovec študent - Skupina 750~3|O tejto postave sa toho veľa nevie|
Skratrulgondiam|Popravca|Skratrulgondiam||None|None|Goblin|Blood Hunter|Ogramište|Vlk|19|Živý|---|Lovec študent - Skupina 750~3|Je viac nenápadný ako by sa dalo čakať ale aj vďačný a na goblina prekvapivo pokojný.|
Princ-Lanc-Rueox|Ochranca|Lanc Rueox||None|None|Half-Elf (High)|Paladin|Jazierchat|Kybad|23|Živý|Markíz, Skaut|Lovec študent - Skupina 750~4|Princ si myslí, že všetko čo sa deje je len o ňom alebo kvôli nemu. Stále sa stará do všetkých a dáva im pocítiť, že on je princ! Jeho postavenie je silné ale jeho správanie tak nepôsobí, aj počas boja sa zdalo, že princ robí sebaisto chybné pohyby. |
Baron-Valér-Sartén|Krotiteľ|Valér Sartén||None|None|Human|Wizard|Sostrov|Geles|29|Živý|Baron, Skaut|Lovec študent - Skupina 750~4|Nezdá sa, že barón prišiel na akadémiu s úmyslom hájiť záujmy fakulty. Skôr prišíel hájiť svoje meno, zosilnel svoje postaveni a poceste, zhodiť dole tých, ktorý už sú nižšie. Barón je však barón, má peniaze, má príjem z baní a keď sa mu niekto nepáči tak to pocíti bez toho aby to mohol násilne zmeniť. Barón je nebezpečný nielen pre svoje financie a postavenie ale aj jeho mágia je na vyššej úrovni než je priemer.|
Princezna-Lejla-Fier'Nuano|Znalec|Lejla Fier˜Nuano||None|None|Aasimar|Sorcerer|Lesohaj|Zylhana|27|Živá|Princezna, Skaut|Lovec študent - Skupina 750~4|Lejla sa zdá, že zatiaľ najpriatelskejší člen skupiny 750~4. Je pokojná a konfliktu sa vyhýba, skôr po konflikte sa snaží veci upokojiť a stlmiť.|
Vojvodkina-Timea-Rolova|Popravca|Timea Rolova||None|None|Human|Fighter|Severana|Rarex|24|Živá|Vojvodkyňa, Skaut|Lovec študent - Skupina 750~4|O tejto postave sa toho veľa nevie|
Zeman-Walandrio-Strygus|Absorber|Walandrio Strygus||None|None|Half-Elf (Human)|Ranger|Pieskostan|Errasa|45|Živý|Zeman, Skaut|Lovec študent - Skupina 750~4|O tejto postave sa toho veľa nevie|
Zori-Misfit-ScaleMail|Absorber|Zori Misfit||None|None|Tiefling|Warlock|Tmavohmla|Atheista|22|Živý|Skaut|Lovec študent - Skupina 750~5|Ozaj nemá rád wizardov.|
Teodor-Vonhohenberg_Clean|Popravca|Teodor Von Hohenberg||None|None|Human|Fighter|Jazierchat|Zekkil|24|Živý|Skaut|Lovec študent - Skupina 750~5|Určite vám niečo hovorí meno Vonhohenberg. Ide o známy rod z Dolinoraja, ktorý kedysi patril medzi ochrancov tohto mesta. Mali na starosti strážne veže, sledovali možné hrozby a práve im sa pripisuje vina za jeho pád do rúk príšer.<br>Je to zároveň pravda a zároveň nefér tvrdenie. Príšer bolo nesmierne veľa. Rod Vonhohenberg zmobilizoval jednotky, bojoval a ako jeden z prvých padal na bojisku. Prežili len tí najmladší, ktorí si ešte ani nemohli spomenúť na to, čo všetko ich predkovia obetovali, akí boli ani ako vyzerali.<br>Deti, ktorým ostalo len meno, a hanba, s ktorou sa na nich ostatní odvtedy pozerali.<br>Dnes tu stojí nová tvár tohto rodu, Teodor Vonhohenberg. Snaží sa napraviť krivdu, ktorá na ich mene spočíva. Rovnako ako jeho predkovia aj on sa hlási do akadémie, odhodlaný napraviť reputáciu svojho rodu a zároveň pomôcť svetu.|
lorberth-Forespear|Krotiteľ|lorberth Forespear||None|None|Human|Bard|Severana|Odizan|26|Mŕtvy (750)|---|Lovec študent - Skupina 750~5|O tejto postave aktuálne nie je tak veľa známe.|
Nagi-Rabdos-Krotitel-Shiro|Krotiteľ|Nagi Rabdos||None|None|Aasimar|Sorcerer|Juhiera|Axon|19|Živá|Skaut|Lovec študent - Skupina 750~5|O tejto postave aktuálne nie je tak veľa známe.|
Page-MeadowPurpleBlue-Owl|Znalec|Page Meadow||None|None|Halken|Wizard|Jazierchat|Mirlo|23|Živá|Skaut|Lovec študent - Skupina 750~5|O tejto postave aktuálne nie je tak veľa známe.|
Borald-Grats|Popravca|Borald Grats||Utrpenie je cesta k skutočnej sile!|None|Human|Barbarian|Jazierchat|Kybad|58|Mŕtvy (722)|Jäger|Lovec Skupina 685|Borald Grats pochádzal z rodiny obuvníkov, nikdy ho však toto remeslo nebavilo. Už od mala vzhliadal na vysoké múry akadémie ako na nedobytný palác kam sa chcel dostať. Lovci boli pre neho ty najsilnejší a najschopnejší, boli to hrdinovia hrdinov. Chcel byť ako oni ale nemal na to, jeho otec bol proti a matka ich opustila. Borald bol frustrovaný a nespokojný. V meste sa dostával do konfliktov a neraz došiel domov zbití. Nebil sa však len tak na ulici ale zarábal si ako zápasník. Tu objavil ako efektívne sa dajú využiť potlačené emócie v boji. Keď to otec zistil vyhodil ho z domu. Boraldovi to však bolo jedno, nikdy sa za otcom nevrátil, mal čosi nasporené a šťastie skúsil na akadémií. Prijali ho a ako lovec precestoval celý svet, nikdy však nebol najlepší lovec a to ho frustrovalo stále viac riskoval a tlačil svoje hranice, keď to raz prehnal a utrpel vážne zranenie, svoju posadlosť prenášal aj na synov. Bolyvar bol jeho úspech, syn v ktorom videl seba a cez neho si splnil sen. To ho ale nenaplnilo tak aby čakal, snažil sa preto ešte vrátiť ako lovec späť ale zranené telo nestačilo a pri obrane Juhiery získal ďalšie vážne zranenie z ktorého sa už nespamätal a vo veku 58 rokov zomrel.|
Gregor-Grats|Ochranca|Gregori Grats||Tie malé radosti sú tie najpodstatnejšie.|None|Human|Paladin|Jazierchat|Saci|30|Mŕtvy (723)|Hed|Lovec Skupina 715|Prvorodený syn Boralda Grats, zahynul vo veku 30 rokov na love s Bolyvarom.|
Belo-DeRueox|Mesto|Belo DeRueox||None|None|Human|Fighter|Jazierchat|Zekkil|33|Živý|---|Osobný strážca Lanc Rueoxa|Smutný muž, ktorý si ale plní svoje poslanie perfektne. Stráži princa ale je viditeľne nespokojný s princovím správaním. Neraz skôr ako princ odišiel tak sa za neho Belo ospravedlnil. Okrem toho však Belo nehovorí alebo nerobí veľa, je tieň princa a jeho ochranca.|
Kargan-Iskier|Znalec|Kargan Iskier||None|None|Human|Wizard|Jazierchat|Hellia|28|Živý|Skaut|Ex-študent - Skupina 740~5, Správca knižnice Jazierchatu|Prezieravý ale nesebaistý knihovník.|
Quinn-Mursa|Bohovia|Quinn Mursa||Stále neviem či je to dar alebo prekliate, ale jedno viem s istotou, len sa tak sa ma nezbavíte.|None|Human (Demigod)|Fighter|Dolinoraj|Axon|1282|Živý|Lady, Kráľovná, Vojvodkyňa, Magistra ...|Legenda|Polobohovia sa rodia od nepamäti, od chvíle, keď sa na svete objavili prví ľudia. No Quinn bola od začiatku iná než ostatní. Nebola oslnivo silná, neovládala žiadny zrejmý element a príroda sa k nej neskláňala s ochotou, akú poznali iní jej druhu. Jej dar nebol viditeľný na prvý pohľad – bol tichý, skrytý, takmer nepochopiteľný. Mnohí spočiatku pochybovali, či je vôbec polobohyňou. Až čas ukázal pravdu. Prežila svojich rodičov, svojich súrodencou i ich deti, prežila dokonca aj elfov, ktorí sa narodili v rovnakom období ako ona, a napriek tomu kráčala ďalej, nezmenená, neúnavná a však sama. Quinn nikdy nemala vlastné deti, nevedno prečo, a generácie potomkov sa pre ňu stali neznámi ľudia...<br><br>Quinn sa narodila ešte pred príchodom monštier, no keď sa objavili, neváhala a postavila sa im. Stala sa bojovníčkou a postupne aj legendou, počas svojho dlhého života sa stala mnohým, isté obodie dokonca aj kráľovnou. Za posledných pár desať ročí ju však poriadne nikto nevidel. Jej prítomnosť vo svete zoslabla, akoby sa rozplynula medzi príbehmi a spomienkami, no nikto skutočne neverí, že zmizla. Nemohla zomrieť. Každé zranenie prekonala, každú ranu prežila a zakaždým vstala znova aj keď ju prebodli ako upíra, aj keď padla z útesu, dokonca prežila aj pád Dolinoraju. Tak teraz všetci len čakajú, kde a kedy sa zjaví najbližšie, dokonca sa na to dá aj vsadiť.|
Lucius-VonHohenberg|Absorber|Lucius Von Hohenberg||None|None|Human|Fighter|Jazierchat|Errasa|35|Mŕtvy|Bojon|Lovec Skupina 725|Patril pod skupinu Vasila, počas jednej výpravy sa veci úplne vymkli kontrole. Vasil sa snažil zachrániť skupinu lebo Unae už bola vážne ranená. Lenže Vasil ostal sám odokrytý, smeroval na a neho útok druhého monštra, Lucius vbehol na pomoc Vasilovi a dosť toho aj vykryl ale nie všetko a práve tu dostal fatálne zranenie. Otvoril ale možnosť útoku pre ostatných a monštrum zničili. Lucius bol absorber ale zomrel ako ochranca. Ako to suvisí s ludvikom? Nebyť Luciusa skonal by Vasil a nebyť Vasila skonala by Unae a bez Unae by tu nebol Ludvik.|
Genta-Rabdos|Popravca|Genta Rabdos | Červená smrť|Každý má právo na väčší biceps!|Red Is Coming|Human|Barbarian|Juhiera|Hellia|41|Živá|Jäger|Lovec Skupina 730|Genta Rabdos je lovkyňa známa veľkou silou, odvahou a tým, že sa pred bojom nikdy nestiahne. Kým iní váhajú, ona už zviera zbraň v rukách a ide dopredu. Nebojí sa bolesti, únavy ani presily, pretože pre ňu je najlepšia odpoveď na nebezpečenstvo ešte silnejší úder. <br><br> Hoci patrí k Popravcom, nenosí ich typické zelené farby. Genta bojuje v červených, krvavých tónoch, ktoré k nej sedia viac než akýkoľvek akademický poriadok. Jej pravidlo je jednoduché — čím ťažšia zbraň, tým lepšia zbraň. To, čo by iní sotva zdvihli, ona používa ako prirodzené predĺženie vlastnej sily. <br><br> Za jej povesťou nestojí len talent, ale aj tvrdý a častý tréning. Genta sa nebojí prehnanej námahy, práve naopak, vyhľadáva ju. Výsledkom je sila, ktorú si všimne každý, kto s ňou stojí v jednej miestnosti. Preto s ňou väčšina ľudí radšej vychádza po dobrom. <br><br> Genta nie je jemná ani diplomatická, no je priama, odvážna a v boji nesmierne spoľahlivá. Keď sa niečo musí rozbiť, zatlačiť späť alebo zastaviť hrubou silou, Genta Rabdos je presne ten človek, ktorého nechcete mať proti sebe.|
Targeria-Uroqal|Znalec|Targeria Uroqal | Čepel Arkany|Ak nás majú súdiť bohovia tak niektorý sa už báť nemusíme.|Every Blade Has an Answer|Human|Fighter|Juhiera|Rarex|43|Živá|Jäger|Lovec Skupina 730 |Targeria Uroqal je Znalec, ktorý nebojuje iba silou ruky, ale aj presnosťou mysle. V boji spája učenosť, skúsenosť a meč, ktorý nie je obyčajnou zbraňou. V jeho čepeli sa nachádzajú čiastočky rôznych druhov mágie, a Targeria ich ovláda s takou istotou, že každý úder môže niesť iný význam, inú silu a inú odpoveď na protivníka. <br><br> Nie je len šermiarka ani len učenkyňa. Je lovkyňa, ktorá rozumie príšerám, mágii aj bojisku ako rovnici, ktorú treba vyriešiť skôr, než zabije niekoho nevinného. Práve táto kombinácia krásy, múdrosti a nebezpečnej schopnosti z nej urobila ženu, ktorá zaujala aj samotných bohov. <br><br> Targeria je matkou jedného z polobohov, hoci dcéru mala už dávno pred ním. Materstvo ju však nikdy nespomalilo ani nepoškvrnilo jej povesť. Naopak, stalo sa ďalšou súčasťou jej legendy. Dokázala, že žena nemusí prestať byť lovkyňou, učenkou ani silou vlastného mena len preto, že sa stane matkou. <br><br> Dnes je Targeria Uroqal známa ako silná, schopná, múdra a krásna žena, ktorá si svoje miesto nevypýtala, vybojovala si ho mečom, rozumom a povesťou, ktorú neprehlušili ani ľudia, ani bohovia. |
Vasil-Calson|Absorber|Vasil Calson||Dobrý nápad, tvrdá hlava a silná vôla dokáže viac než slepá dôvera v príkaz. |Cyan Legend|Human|Spectral Knight|Severana|Vallor|68|Živý|Jäger|Spectral Knight Cyan, Lovec skupiny 705|Vasil Calson, zvaný Hviezda, je Rytier tyrkysového svetla a jeden z najznámejších lovcov svojej generácie. Tyrkysové svetlo je medzi rytiermi spojené s prúdom prispôsobenia a schopnosťou meniť sa skôr, než sa zmení bojisko. Práve táto vzácnosť z Vasila robí nielen rytiera svetla, ale aj vysoko adaptívneho bojovníka. <br><br> Od detstva túžil byť lovcom. Rytieri svetla boli vznešení, jedineční lebo sú viazaní krvou, no Vasil veril, že lovci sú potrební tam, kde ľudia skutočne krvácajú. Preto sa hádal s otcom aj rádom, až kým im nezostalo nič iné, než ustúpiť. Vasil sa totiž aj bez povolenia vrhal do bojov s príšerami a svojimi skutkami robil rytierom svetla dobré meno. <br><br> Čas ukázal, že to bolo správne rozhodnutie. Ako rytier tyrkysového svetla dokázal Vasil meniť svoje konštrukty rýchlejšie, než iní lovci menili zbrane. Tam, kde iný siahal po kladive, Vasil už udieral kovadlinou. Tam, kde iný prebíjal kušu, on vypustil sériu tyrkysových šípov. A keď sila nestačila, premenil šípy na popruhy, reťaze či putá, ktoré príšeru zastavili skôr, než mohla znova zaútočiť. <br><br> Vasil nebol dokonalý, ale bol neobyčajne prispôsobivý. Ak niečo nevyšlo, zmenil rytmus, zbraň, plán aj úsmev. Nebol silný len v boji, ale aj v slove, a práve preto jeho sláva rástla rýchlejšie než legendy o ňom. Jeho podpísané plagáty majú dodnes vysokú hodnotu a jeden z nich ho zachytáva vo chvíli mimo bojiska, keď sa mu ženy doslova hádžu pod nohy. <br><br> Napriek všetkej sláve však Vasil zatiaľ nezvládol jednu vec, ktorá je pre rytierov svetla najdôležitejšia... zabezpečiť pokračovanie krvnej línie. Bez potomka môže tyrkysové svetlo vyhasnúť, a keďže červený rod už zhasol, rádu by zostali už len štyri rody. Kým však Vasil žije, stále svieti aj nádej, že Hviezda ešte nezhasne. |
Viliam-Rozsipal|Absorber|Viliam Rozsipal||None|None|Human|Fighter|Jazierchat|Errasa|57|Živý|Jäger|Lovec skupiny 715|Viliam Rozsipal bol výnimočný lovec, ktorý si dobré meno nevyprosil, ale vybojoval. Bol oddaný pravidlám, disciplíne a výsledkom. Meč ovládal rovnako isto ako mágiu a v boji pôsobil ako človek, ktorý presne vie, čo robí — a očakáva, že všetci okolo neho budú stíhať. <br><br> Práve v tom bola jeho sila aj jeho chyba. Ak s ním niekto nedokázal držať krok, Viliam mu nepodal pomocnú ruku. Nechal ho v prachu. Nehľadal priateľov, ale rivalov, ktorí by ho prinútili byť ešte lepší. Slabosť neznášal a pomalosť považoval za osobné zlyhanie. <br><br> Vďaka tvrdosti, talentu a neústupnosti získal rodu Rozsipalovcov dobré meno, vplyv aj pozemky. Lenže za to zaplatil ľuďmi. Priateľov stratil postupne a manželku nakoniec tiež — nie smrťou, ale odchodom. Viliam vyhral veľa bojov, získal majetok aj rešpekt, no doma po ňom zostalo viac ticha než lásky. |
Valiana-Kajna|Bohovia, Absorber|Valiana Kajna||Nikto nie je dokonalý ani ty, ani ja, ani lovci a ani bohovia. |The Road of Valiana Kajna|Elf|Cleric|Juhiera|Syrvaad|326|Živá|Jäger|Lovec skupiny 715, High Priestess|Valiana Kajna je kňažka, ktorá bohov neoslavuje iba pre ich vznešenosť, ale pre ich skutočnosť. Neodmieta ich skutky, nevyberá si len pohodlné stránky viery a nesnaží sa božstvo uhladiť do niečoho jednoduchšieho. Už na akadémii pôsobila ako elfka, ktorá chce pochopiť a prijať celok, no ako mnohí elfovia nevydržala zostať lovkyňou celý život. Svoje skutočné volanie našla v chráme. <br><br> Dnes je Veľkňažkou tradície Žiarivej prítomnosti, ktorá sa snaží inšpirovať ostatných samotnou existenciou, správaním a príkladom. Valiana to robí oddane, slovom, chôdzou, vystupovaním aj tým, že lov nikdy celkom neopustila. Na výpravy chodí menej často než kedysi, no keď treba, stále dokáže pomôcť, absorbovať esenciu a pretvoriť ju tak, aby povzbudila a pozdvihla čo najviac bytostí okolo seba. <br><br> Najznámejšia je pre verejné bohoslužby, ktoré vedie s pokojom, krásou a silou niekoho, kto vie, prečo stojí pred davom. Valiana je však viac než len veľkňažka. Je vnučkou upírky, matkou a dôveryhodnou spoločníčkou. Jednoducho ženou, ktorá nesie svetlo nie preto, že v nej nikdy nebol tieň, ale preto, že sa ho rozhodla niesť pre iných a neustúpiť ani pred hriechom minulosti. |
Vladislav-Marinovič_2|Ochranca, Žold|Vladislav Marinovič||None|None|Human|Warlock|Tmavohmla|Uaqaeht|42|Živý|Jäger|Lovec študent - Skupina 730|Vladislav Marinovič nastúpil na akadémiu už ako známe meno medzi lovcami upírov. Nie tých vznešených a mocných z Tmavohmly, ale divokých, chorých a nepredvídateľných tvorov, ktoré sú nebezpečné práve tým, že sa neriadia žiadnou dôstojnosťou ani rozumom. Vladislav sa naučil loviť hrozby, ktoré sa nehýbu ako ľudia a neumierajú tak ľahko, ako by mali. <br><br> Hovorí sa, že má zvláštne šťastie. V boji sa často vyhne problémom skôr, než si ich iní všimnú, a nejako vždy stojí na správnom mieste v správny čas. Možno je to skúsenosť z lovov upírov, možno temný dar, alebo niečo hlbšie v krvi Marinovičovcov. Aj jeho predkovia boli schopní lovci upírov a len zriedka sa venovali širšiemu štúdiu príšer. <br><br> Práve preto je Vladislav výnimkou. Nezostal iba pri rodovej tradícii a rozhodol sa vstúpiť na akadémiu ako lovec príšer. Nie preto, že by upíri prestali byť jeho doménou, ale preto, že pochopil, že svet má viac tieňov než jeden rod dokáže sám pomenovať. |
Darina-Kold|Absorber|Darina Kold||None|Queen of the Commotion|Human|Blood Hunter|Severana|Decon|27|Živá|Hed|Lovec študent - Skupina 740~0|Darina Kold je najmladší žijúci potomok Dextera Kolda a odhodlaná Absorbérka, ktorej meno sa často spája s jediným slovom — chaos. Nie je to človek, ktorý ticho vstúpi do miestnosti. Darinu počuť ešte skôr, než ju vidno, pretože je hlasná, drzá, vulgárna a nehanbí sa za to. <br><br> Je známa prekvapivo vrtkavou povahou. V jednej chvíli dokáže byť stredobodom zábavy, rozosmiať skupinu a rozpáliť atmosféru okolo seba. V ďalšej chvíli môže tou istou energiou rozpútať hádku, bitku alebo úplný rozklad plánu. Niekedy to obráti proti nepriateľom, inokedy, žiaľ, aj proti vlastným. <br><br> Darina je divoká karta v každej situácii. Niektorí ju za to milujú, pretože práve jej nepredvídateľnosť vie zmeniť prehratý boj na víťazstvo. Iní sa jej boja, pretože pri nej nikdy nie je isté, či práve zachraňuje situáciu, alebo ju podpálila od základov. <br><br> Ako potomok Koldovcov v sebe nesie silu, ambíciu a tvrdohlavosť svojho rodu, no používa ich po svojom. Darina nie je elegantná ani poslušná lovkyňa. Je výbuch emócií, talentu a surovej energie, ktorý sa nedá ignorovať — a už vôbec nie zastaviť len tým, že jej niekto povie, aby sa upokojila. |
Darius-Kulukala|Popravca|Darius Kulukala | Halfforged|None|Half-Forged Prayer|Human|Monk|Sostrov|Zekkil|32|Živý|Hed|Lovec študent - Skupina 740~0|Lovec, ktorý prežil niečo, čo malo byť istou smrťou. Počas jedného z lovov utrpel strašné zranenia, keď mu žieravina takmer úplne rozpustila trup a hornú časť tela. Na mieste nebol žiaden liečiteľ, ktorý by ho dokázal zachrániť, a každá ďalšia chvíľa ho približovala ku koncu. <br><br> Vtedy zasiahol Marcel. Ohýbal hranice mechaniky, organiky a mágie, aby Dariusa udržal nažive. Nešlo o čisté vyliečenie, ale o zapečatenie smrti skôr, než si ho stihla vziať. Darius prežil, no jeho telo už nikdy nebolo rovnaké. <br><br> Jeho zranenia zostali uzavreté tak hlboko a nebezpečne, že pokus o ich znovuotvorenie a skutočné vyliečenie by ho s najväčšou pravdepodobnosťou zabil. Preto žije v mechanickej schránke, ktorá tvorí jeho ruky, hruď a veľkú časť hornej polovice tela. <br><br> Táto schránka mu dáva silu a schopnosti, aké bežný človek nemá. V boji je pevnejší, odolnejší a neľudsky neúprosný. Cena za to je však tichá a krutá. Jeho dotyk je chladný, jeho hmat takmer neexistuje a mnohé veci, ktoré iní cítia prirodzene, sú preňho už len spomienkou. <br><br> Darius nie je stroj, hoci jeho telo tak môže pôsobiť. Je to človek, ktorého smrť nedostala, ale vzala si od neho kus života aj tak. |
Ľubomíra-Vrba|Krotiteľ|Ľubomíra Vrba||None|Secrets in the Raincoat|Human|Sorcerer|Juhiera||30|Živá|Hed|Lovec študent - Skupina 740~0|Charizmatická, spoločenská a zvláštne zdráhavá žena, ktorá pôsobí otvorene, no o sebe prezrádza menej, než by sa zdalo. Ľudia jej často hovoria veci, ktoré by iným nepovedali, pretože vie počúvať, reagovať s pochopením a vytvoriť pocit, že pri nej je človek vypočutý. <br><br> Problém je, že tajomstvá si pri nej nežijú dlho. Ľubomíra ich nezvyčajne nevynáša zo zloby, skôr preto, že slová z nej niekedy odídu skôr, než ich stihne zastaviť. Je dôveryhodná ako poslucháčka, ale nebezpečná ako úschovňa tajomstiev. <br><br> Sama však veľa nehovorí o tom, kým skutočne je. Radšej necháva za seba hovoriť skutky, dojmy a magické efekty. Vie sa prezentovať pôsobivo, farebne a s istou dávkou teatrálnosti, akoby každé jej gesto mohlo byť malým kúzlom. <br><br> Práve tým rada irituje svoju sestru, ktorá mágii neverí a omnoho viac dôveruje sile tela, disciplíne a fyzickým schopnostiam. Ľubomíra sa tým nenechá odradiť. Naopak, čím viac jej sestra odmieta magické okázalosti, tým väčšiu chuť má Ľubomíra dokázať, že správne načasované kúzlo vie byť rovnako výrečné ako úder. |
Marcel-Granulia|Ochranca|Marcel Granulia|Strieborný|None|Marcels Wires and Whispers|Human|Artificier|Pieskostan|Chirnird|28|Živý|Hed|Lovec študent - Skupina 740~0|Nezačal svoju cestu lovca ako hrdina, ale ako trestanec. Bol schopný samozvanec, ktorý dostal na výber medzi väzením, nútenou prácou a službou lovca. Rozhodovanie netrvalo dlho. Lovec mal väčšiu voľnosť, prístup k náradiu a dosť príležitostí, aby Marcel dokázal, čo v ňom skutočne je. <br><br> Pôvodne sa venoval rôznym zlepšovákom, úpravám výstroja a technickým riešeniam, ktoré iným ani nenapadli. Po Dariusových strašných zraneniach sa však jeho práca zmenila. Práve Marcel ohýbal hranice mechaniky a organiky, aby Dariusa zachránil, a odvtedy sa zameriava najmä na bio-mechanické náhrady a spôsoby, ako udržať pri živote tých, ktorých obyčajná medicína už odpísala. <br><br> Mnohí dnes pri pohľade na Marcela zabúdajú, kým bol predtým. Zabúdajú na vodcu rebelov z Granulie, ktorý kráčal po stopách Romula, najznámejšieho samozvanca svojho kraja. Kedysi z neho išiel strach, pretože bol nebezpečný, vzdorovitý a ťažko ovládateľný. <br><br> Dnes z neho ide rešpekt z iného dôvodu. Nie preto, že by ľudí desil, ale preto, že preukázal schopnosti, ktoré sa nedajú ignorovať. Marcel Granulia je dôkazom, že aj človek, ktorý začal ako problém, sa môže stať tým, kto zachráni životy, keď už všetci ostatní nevedia ako.|
Leonard-Arjek|Znalec|Leonard Arjek||None|The Measure of the Flame|Human|Wizard|Juhiera|Zylhana|27|Živý|Hed|Lovec študent - Skupina 740~0|Leonard Arjek bol Znalcom ešte skôr, než vôbec vstúpil na akadémiu. Už ako dieťa dokázal z príbehov, povestí a opisov lovov určovať silné a slabé stránky príšer. Kým iní počúvali rozprávanie ako dobrodružstvo, Leonard v ňom hľadal vzorce, chyby, správanie a možnosti prežitia. <br><br> Na akadémii sa z tejto prirodzenej schopnosti stal presný nástroj. Leonard nebojuje hrubou silou ani slepou odvahou, ale prípravou, znalosťami a mágiou ukrytou v knihe. Každý zápis, poznámka a kúzlo má uňho svoje miesto, pretože v boji môže správna informácia rozhodnúť skôr než najostrejšia čepeľ. <br><br> Jeho prístup je tichý, dôsledný a nebezpečne presný. Nepotrebuje byť najhlasnejší v miestnosti, aby si ho všimli. Stačí, aby raz správne pomenoval slabinu nepriateľa, a každý pochopí, prečo je Leonard Arjek vysoko kvalifikovaný lovec. <br><br> Leonard je typ Znalca, ktorý dokáže z obyčajného príbehu vyčítať varovanie a z varovania vytvoriť plán. Tam, kde iní vidia monštrum, on už hľadá spôsob, ako ho poraziť. |
Caelthir-Vaelorian|Absorber|Caelthir Vaelorian||None|None|Elf (High)|Sorcerer|Stromoraj|God|132|Živý|Hed|Lovec študent - Skupina 740~1|Unikátny Absorbér, známy tým, že medzi svojimi spolužiakmi pôsobí takmer nepatrične pokojne. Kým mnohí z jeho fakulty pracujú s esenciou prudko, nárazovo a často aj riskantne, Caelthir zostáva sústredený, sebavedomý a tichý. Nevyvoláva rozruch a do boja sa nevrhá bezhlavo. Keď zaútočí, robí to pripravene. <br><br> Práve preto si niektorí myslia, že si vybral nesprávnu fakultu a mal sa stať Znalcom. Caelthir to však odmieta. Vie, že patrí medzi Absorbérov, len s esenciou narába inak než väčšina. Nehltá ju naraz, nenecháva sa ňou zaplaviť a nevypúšťa ju ako výbuch. Delí ju, dávkuje a používa postupne, akoby každý kúsok sily musel najprv prejsť cez jeho vôľu. <br><br> Jeho najväčšou schopnosťou nie je iba moc, ktorú dokáže prijať, ale sebazaprenie, s akým ju dokáže udržať. Caelthir sa neponáhľa do boja ani do nepremyslených situácií, pretože verí, že skutočná kontrola sa neukazuje v tom, koľko sily človek unesie, ale v tom, koľko jej dokáže nepoužiť. <br><br> Medzi Absorbérmi je preto zvláštnou výnimkou, pokojný lovec uprostred fakulty plnej prudkých reakcií. A práve vďaka tomu je nebezpečný.|
